date,name,review
3 November 2021,Josie Turner," Calendar function doesn't work on mobile. Hasn't worked for roughly a year. Wish they would fix this. Everything else is fine, I just use the calendar a lot and it's annoying that it never works for me. I see that looking through the reviews it isn't only me who is affected either."
25 October 2021,TeslaInvestah," A capable app. Can do 95% of what the desktop site can, but rarely a page can't load. The loading animation will just spin forever if you don't realize that your internet is turned off. Aaah. Also, I wish that dismissing canvas notifications from the notification bar disabled those notifications froFull ReviewA capable app. Can do 95% of what the desktop site can, but rarely a page can't load. The loading animation will just spin forever if you don't realize that your internet is turned off. Aaah. Also, I wish that dismissing canvas notifications from the notification bar disabled those notifications from being regenerated whenever the phone restarts. It always spams me with the same old 70 spastic almost-simultaneous vibrations when I turn on my phone. Perhaps I am just using it wrong."
12 November 2021,Ibra heem," This app is just terrible. For starters It takes a really long time to find your university (that is if you somehow was able to find it) then it takes even longer time trying to figure out why your email and password are incorrect. Then if you somehow managed to login then fear not because you'll haFull ReviewThis app is just terrible. For starters It takes a really long time to find your university (that is if you somehow was able to find it) then it takes even longer time trying to figure out why your email and password are incorrect. Then if you somehow managed to login then fear not because you'll have to do the same Everytime you close the app. Also there is no notifications, so if you have an exam it won't tell you lol. I don't know why our university is forcing us to use it."
7 October 2021,Robyn Lape," I have been using this app for about a year now on my phone. I like it because instead of always having to type in my screenname and password every time I want to look at something or do an assignment, when I use the app all I have to do is click on it and it takes me right to my classes and the appFull ReviewI have been using this app for about a year now on my phone. I like it because instead of always having to type in my screenname and password every time I want to look at something or do an assignment, when I use the app all I have to do is click on it and it takes me right to my classes and the app also shows me when certain homework assignments are do and also when quizzes/exams are going to be. The only problem I have had the past few weeks is that when I click on the ""to do"" tab it will say it's empty even though luckily I already know that I still have assignments that are due. So when it says that it's empty, it is extremely misleading. Hopefully it will be fixed. Other than that I think the app is great! I use it everyday."
4 November 2021,Alexis Villadelgado," Canvas, I'm BEGGING you to start adding ""trigger warning"" to each ""assignment created"" or ""assignment graded"" notification. add some other sounds when the confetti blows up after each assignment submission, too, because I've become absolutely immune to every small step of academic success that I fulFull ReviewCanvas, I'm BEGGING you to start adding ""trigger warning"" to each ""assignment created"" or ""assignment graded"" notification. add some other sounds when the confetti blows up after each assignment submission, too, because I've become absolutely immune to every small step of academic success that I fulfill"
17 October 2021,Brandon O'Toole," I have to log in every time I open the app. Also, it seems the android ""back"" action signs me out if my account. This is a very common action for me, so I find myself logging in multiple times per session. In the end I uninstalled because the web version is easier. The layout is also a little confusFull ReviewI have to log in every time I open the app. Also, it seems the android ""back"" action signs me out if my account. This is a very common action for me, so I find myself logging in multiple times per session. In the end I uninstalled because the web version is easier. The layout is also a little confusing and does not match the website (yet they state ""seamless"" integration)."
5 November 2021,Alex Ohannes," Signs me out for no reason after a few days. If this is ""expected behavior"", then add obvious solutions like a pin or fingerprint support and remove the auto logout. There is no excuse for this app logging you out if the desktop version doesn't."
12 October 2021,Kencha," I use it for all my classes and it works generally okay. It will, however, log me out periodically or at the very least force me to log on again if I try to open it without an internet connection. It continues to ask me to log in even after I've reconnected. It will then register my account as beingFull ReviewI use it for all my classes and it works generally okay. It will, however, log me out periodically or at the very least force me to log on again if I try to open it without an internet connection. It continues to ask me to log in even after I've reconnected. It will then register my account as being logged in twice and give me the same notifications twice for every. single. notification. Please, please fix this. It's becoming very frustrating and I've never had this problem before this semester"
30 September 2021,Evelynn Starkey," This app does its job, and its pretty convenient, but there are a few things that bug me. The worst thing is that, whenever I go to see the ""Submission and rubric"" part of an assignment, and there is more than one file turned in, the app immediately crashes, even if I just wanted to see the teacher'Full ReviewThis app does its job, and its pretty convenient, but there are a few things that bug me. The worst thing is that, whenever I go to see the ""Submission and rubric"" part of an assignment, and there is more than one file turned in, the app immediately crashes, even if I just wanted to see the teacher's comments. Please get this fixed. Also, on the website, the dashboard gives you a list of assignments, ordered by when they are due. I find it very helpful, but the app doesn't have it. Please add it"
17 November 2021,Alexa P.," It's okay, but why does it keep on logging me out. It's a pain and difficult to log back in that spans in days and after a week or two after it finally logs back on please fix this in your next update and I will change my review."
29 September 2021,Matrena Hopkins, The app is simple and useful to keep up with homework and class information (when it works). I can view any of my classes or get information right from this app. This app makes things a lot easier to access. This app has been logging me out every few weeks without allowing me to log back in for for Full ReviewThe app is simple and useful to keep up with homework and class information (when it works). I can view any of my classes or get information right from this app. This app makes things a lot easier to access. This app has been logging me out every few weeks without allowing me to log back in for for days. There is a terrible malfunction in this app.
17 November 2021,SophiaDraco," consistently logs me out. my school uses Google to sign in, which would make things convinent, except for the fact that you can't use an account already on your phone. you need to sign in to your Google every time. also the app caches a lot which is :("
12 October 2021,Dominique McLauchlin," App is decent. I have issues when typing the pg numbers, highlight, and voice to text. Also the ""audio to go"" doesn't work. I have to exit the app to visit the website to download the audio and extract it into a media player. Because of these issues with the simple things, I have been very hesitant Full ReviewApp is decent. I have issues when typing the pg numbers, highlight, and voice to text. Also the ""audio to go"" doesn't work. I have to exit the app to visit the website to download the audio and extract it into a media player. Because of these issues with the simple things, I have been very hesitant with taking a quiz on the app because you only get one attempt. Aside from that, atleast I kind of have access to my ebook. (Note* since I can't search the pg number, I have to click through 200+ pgs)"
20 September 2021,Joe Braun," Does everything essential, but misses some fringe marks. This app is the go-to choice for using canvas on mobile. Animations are smooth, things are well placed, and the only overall UX detractor is lack of a dark mode. That said, some small features available on the web app are not present in this vFull ReviewDoes everything essential, but misses some fringe marks. This app is the go-to choice for using canvas on mobile. Animations are smooth, things are well placed, and the only overall UX detractor is lack of a dark mode. That said, some small features available on the web app are not present in this version. Future enrollments, for example, are not visible under ""All Courses."" A student might mistake this oversight as failure to enroll on their part and cause unnecessary panic."
2 October 2021,Mockedarche, Annoying notification bug. So simply put if you open the app when you're losing signal it will log you out. You then log back in and it works annoying as all hell it would be nice if it just said it wasn't connected like every other app. The bigger issue is each time you do this it adds an additionaFull ReviewAnnoying notification bug. So simply put if you open the app when you're losing signal it will log you out. You then log back in and it works annoying as all hell it would be nice if it just said it wasn't connected like every other app. The bigger issue is each time you do this it adds an additional notification each time you would normally receive one. I started receiving 7 for every single normal one. Massive bugs that need to be addressed as its seriously annoying.
22 September 2021,Myone HoneyBun," This app lets me do all my college work from the convenience of my own phone! It includes loads of support for printing, editing, and submitting pdfs. The messaging tool allows me to message my professor with ease. The layout is both smooth and fast. Very easy to use. It's everything a mobile app ofFull ReviewThis app lets me do all my college work from the convenience of my own phone! It includes loads of support for printing, editing, and submitting pdfs. The messaging tool allows me to message my professor with ease. The layout is both smooth and fast. Very easy to use. It's everything a mobile app of a website should be. Best app ever for classwork."
28 September 2021,joseph haskell, Prepare for duplicate notifications of every small thing that goes on in this app. Every time you open a notification it will give you an error saying it can't be displayed. Pressing the back button will more than likely exit the entire app than take you back one page. Covid rushed streaming apps haFull ReviewPrepare for duplicate notifications of every small thing that goes on in this app. Every time you open a notification it will give you an error saying it can't be displayed. Pressing the back button will more than likely exit the entire app than take you back one page. Covid rushed streaming apps have more functionality than this app. Whatever college grad made this their senior project obviously cheated on their exams.
16 October 2021,Lauren James," App will not upload video files. I have tried multiple times and it records just fine but when hitting the check mark it gives an unknown error. Very inconvenient for those who don't have webcam access. Also cannot view grade comments on the app, always have to go to the canvas site through a desktoFull ReviewApp will not upload video files. I have tried multiple times and it records just fine but when hitting the check mark it gives an unknown error. Very inconvenient for those who don't have webcam access. Also cannot view grade comments on the app, always have to go to the canvas site through a desktop browser, also very inconvenient."
8 November 2021,Kim Valley," Calendar won't load anymore. I tried deleting the app and reinstalling. Still having the same issue. Also, I emailed the developer, and have had no response."
26 October 2021,Lia Almaraz, This app helps me be organized and on task with any work that is given to us. It has a calendar and an inbox so I can keep track and also email teachers for help. Its helped me a lot through this past year and it's a good resource for school activities.
16 October 2021,Robbie Kaufman," There is a probelm with this app, especailly when linked to a phone to recieve messages for alerts/announcements. When an alert comes through on a cell phone the banner cannot be expanded, so you can't see what the full anouncement is. On a laptop it may show a new notification bubble over the app iFull ReviewThere is a probelm with this app, especailly when linked to a phone to recieve messages for alerts/announcements. When an alert comes through on a cell phone the banner cannot be expanded, so you can't see what the full anouncement is. On a laptop it may show a new notification bubble over the app icon (only sometimes), but when the app opens there will be no sign of what the notification is, what class it was for, etc. Frustrating when you need to know what's going on in your courses."
29 October 2021,Robin D'Oyen," Nonintuitive, difficult to use, and clunky. Half functional calendar that hasn't been fixed in weeks. Not sure why so many colleges use this. I've given a star because at least it starts."
10 November 2021,That one llama who is so obsessed with Fandoms," You're logged out if you back space or hit home to get your verification code on gmail. I really don't reccomend the app. Just stick with your browser. Or even the ""desktop site"" version on a phone"
20 November 2021,Mitchell Gallagher," App is very bad. Bad media controls, takes forever to load when clicking into something or out of something. Will freeze up and then register all button prompts at once and just exit the app"
20 October 2021,Michael Garmon, This app is very helpful as a student. It is great to submit assignments on the same device I scan. It would be great if it had a built in scanner. I would help me reduce the amount of files I have in my drive.
19 September 2021,William Muhlbach," Notifications are not sorted into channels, which makes it difficult to deal with them. The in-app web browser kinda sucks, there should be an option to open links in the device's default browser, like there is in most other apps."
16 November 2021,Lou Ly, I can't collapse the menus. The little arrow just flips up or down but nothing collapses EVER. Please fix. Works just fine on the site on my PC just not the app.
30 October 2021,Matthew Reames," Constantly crashes. Edit Sept 30th, 2021: still crashes upon opening. Edit Oct 29th: still crashes upon opening, they didn't accept my complaint, and now it doubles up notifications."
19 November 2021,Madison Beckerdite, This app works great on my phone (I have a galaxy flip) but unforunately I can't even log in on my samsung tablet. I search my school and it finds it but loads a blank screen that never loads after. Can you guys make it more compatible with differnt devices?
25 September 2021,TurtleLush Lush," I have been able to turn in all my photos of homework without issue, so that function is fine as far as I know. It has kept up to date with assignments, and I can easily open the app without it taking very long, which is not what I can argue for the app on PC"
14 May 2019,Simon Soreke, Freezes and crashes when opening reviewed papers from teacher
10 May 2019,Chashimij Denavich," net::ERR_CLEARTEXT_NOT_PERMITTED Updated app shows this error on the Android 9, with the Peralta College System."
10 May 2019,Manoj Bhandari, Failed to transmit messages sent to tutors and discussion replies several times. Not trustworthy at all. Beware! Sticking to the website.
8 May 2019,Alex Herman," Good app, one problem. When i get new grades it doesent say anything and it does not label new grades. also i have the settings configured so when i get a new grade it should notify me. but no"
6 May 2019,Rodney Blackwell, trouble logging in after getting a new phone. won't let me pull up my school.
30 April 2019,Pratik Ghogre," The app needs a fix, there is some content which is inaccessible, like professor said :"" click next to view the slides"" but there is no next button."
29 April 2019,Paula McDonald, only can access some things on mobile
29 April 2019,B N, i keep getting a clas i took last semester showing up
25 April 2019,Josh thequarterpipe, Calender hasn't worked in years and hyperlinks don't work properly with the in app browser.
24 April 2019,Haha Ur mom, could not view grades from previous quarters
24 April 2019,Brandon Milner, Sometimes opening modules/files just will not work. This massively impedes the point of the app and classroom functionality.
22 April 2019,Rory Gates, for some reason the most of the canvas groups that I am a part of are not accessible on this app. It's also kind of ridiculous that the app won't automatically open links that are supposed to be for canvas. there's also the annoying fact that you cannot play videos in this app without going into theFull Reviewfor some reason the most of the canvas groups that I am a part of are not accessible on this app. It's also kind of ridiculous that the app won't automatically open links that are supposed to be for canvas. there's also the annoying fact that you cannot play videos in this app without going into the video editor something that is not the case on the web version of canvas.
17 April 2019,Sam Fickel," I like the app but the calendar doesn't work. Works just fine kn the website but nothing shows up when I'm on the app so things that I schedule for myself, along with assignment due dates, are more difficult to view."
17 April 2019,Kristin West, sometimes it works.... sometimes it doesn't! it's very Frustrating at times☹️
16 April 2019,Liz Smith, it doesnt work that well for me
12 April 2019,A Google user," This app needs the function to collapse the Discussion Board posts, similar to the desktop certain. For large classes with many posts later in the week, it can be difficult to find your own post buried within 14 screen flicks worth of posts."
11 April 2019,Deuxe Wild999, should send more notifications....
9 April 2019,April Angelides," Just this semester the links have lead me to an error page. At first it was just a few youtube video links my teacher posted but now its doing it for the literary library, the fall semester sign up banner, and many of the links that lead to WNC website. I'm happy to give more stars if this gets resoFull ReviewJust this semester the links have lead me to an error page. At first it was just a few youtube video links my teacher posted but now its doing it for the literary library, the fall semester sign up banner, and many of the links that lead to WNC website. I'm happy to give more stars if this gets resolved but this is stopping me from viewing important course content and its not exclusive to my class dashboard but the entire app."
8 April 2019,Shant Kouyoumdjian, my canvas files are not opening when i go to open it says cannot open file
8 April 2019,Jay Lewis, Somewhat laggy. Can't view calendar.
6 April 2019,Anthony Flores, For some reason I can't see the assignments on my calendar.
5 April 2019,Nicole Turner, App was working fine last semester but know its not showing my new class modules. its saying nothing is uploaded. cant even see the assignments or discussions HELP
4 April 2019,Beautifulme Jenkins," I love this app but my notifications dont work. Since I don't get alarms or a email from canvas, I'm missing school work. Can you please fix this. Thank you."
4 April 2019,Crystal Sorensen, having a lot of problems using it on my Android devices lately
30 March 2019,himanshu brainaction, most of amity online content is not working or accessible also it doesn't work properly on an apple device
28 March 2019,A Google user, FAIR
21 March 2019,Krista Klaesner, the calender wont view my assignments. This is what I use to see when my assignments are due. other than that app is good
20 March 2019,Justin's World," It's not making me get in and my teacher put my account already, please fix it"
17 March 2019,Zac Morgan," to get to your download: myfiles>internal storage>download Nice to have, but super buggy for a college app. can check grades / etc. CANNOT OPEN .PDF/ OTHER DOCUMENTS, OR PRINT THEM. IT WILL OPEN A (OPEN....) POP UP THAT YOU CAN NEVER MOVE FORWARD WITH.. App can be very dissapointing but at least itsFull Reviewto get to your download: myfiles>internal storage>download Nice to have, but super buggy for a college app. can check grades / etc. CANNOT OPEN .PDF/ OTHER DOCUMENTS, OR PRINT THEM. IT WILL OPEN A (OPEN....) POP UP THAT YOU CAN NEVER MOVE FORWARD WITH.. App can be very dissapointing but at least its there. it also has widgets for homescreen to do list. seriously though, for a college app.. where they teach this kind of stuff, this is pretty broken and sad."
15 March 2019,Zachary Cohen, yaya
13 March 2019,Jen T," it would be nice if it was more functional. Only being able to view my to do list up to a week ahead? Not helpful. The monthly calendar doesnt show to do lists either, it only shows events - not helpful either. Of course it's not going be as functional as the website, but i downloaded the app so thaFull Reviewit would be nice if it was more functional. Only being able to view my to do list up to a week ahead? Not helpful. The monthly calendar doesnt show to do lists either, it only shows events - not helpful either. Of course it's not going be as functional as the website, but i downloaded the app so that it would make my life easier - it's not helpful if i go into the app only to realize it doesnt have the functions i need, thereby making me log into the mobile web version anyways..."
12 March 2019,A Google user, Helpful But sometimes annoying
11 March 2019,Osiris Dollar," Keep getting a popup box stating, Canvas has stopped working. Please fix this bug, Canvas should NOT be running in the background."
8 March 2019,Ery Almario, the UI is confusing and a lot of features in the website is missing from the app
7 March 2019,KaitTheKitty," Eh, I'm not a big fan of how everything is setup. I'd rather use the website than the app. But, other than that it's not so bad."
7 March 2019,Kyle Davis," Only receive half of the notifications i should, which is frustrating when there are important announcements every other day."
6 March 2019,Jalynn Emile," Won't show parts of the calender, and some of my classes don't show up on the dashboard."
3 March 2019,Francisco Javier Nunez Vasquez, please add dark theme on here
3 March 2019,James Higgins, lets me track my courses and complete assignments. Only major problem I have experienced is that in discussion boards the app will freeze and lock my phones screen for a while until it finally resets and goes back to my home screen. Happens literally every time i try to access my course discussion bFull Reviewlets me track my courses and complete assignments. Only major problem I have experienced is that in discussion boards the app will freeze and lock my phones screen for a while until it finally resets and goes back to my home screen. Happens literally every time i try to access my course discussion boards. I have an LG G7 ThinQ.
28 February 2019,Seth Marler," Has some features of the full version, but difficult to use add ons through the program."
20 February 2019,Matthew Owens," Tell me, why must I open a submitted document instead of directly saving it?"
19 February 2019,A Google user, Dark mode please!
19 February 2019,Ibby Arnette," overall i like the canvas app, but it irritates me that when I press a push notification it just opens the app, it doesn't take me to the notification. The calendar feature isn't working either! I missed 2 assignments because i was relying on the canvas calendar to show my upcoming due dates accuratFull Reviewoverall i like the canvas app, but it irritates me that when I press a push notification it just opens the app, it doesn't take me to the notification. The calendar feature isn't working either! I missed 2 assignments because i was relying on the canvas calendar to show my upcoming due dates accurately and it isnt."
18 February 2019,Catherine," It's nice to have a quicker, mobile way to access my courses but the app constantly malfunctions and will lock you out of your class canvas or reset your selected courses."
18 February 2019,quentin smith, i needed to find out when an assignment was due and I couldn't find my charger 😭 and now i finished it and it really works well
18 February 2019,Sarah Morris," I like the app, but I wish the calendar feature integrated with the web version better. The tasks displayed on the web version don't even show up on the app for me."
14 February 2019,A Google user, user friendly
13 February 2019,Ashley Salas," This app us great at communicating and seeing assignments that are due, BUT!!!!! I have been having one HELL of a time uploading a discussion response in one of my classes, and what irritates me the MOST is that my Samsung device keeps opening the App when I am in Chrome trying to access the mobile Full ReviewThis app us great at communicating and seeing assignments that are due, BUT!!!!! I have been having one HELL of a time uploading a discussion response in one of my classes, and what irritates me the MOST is that my Samsung device keeps opening the App when I am in Chrome trying to access the mobile site so I can turn in my assigned discussion. I have not only been having issues with my Samsung app, but my iPad Canvas app as well. I tried sending an email to them, but it keeps coming back unsent."
11 February 2019,William W, Irritating to navigate and doesnt display everything properly
10 February 2019,Joe G V," Almost Good. The app and the web app desperately need an overhaul for the discussion component. Threaded discussions should be collapsed by default and deep links via notifications should take you directly to the comment. It is far too easy to get totally lost in the threads, especially on mobile."
8 February 2019,Liz P," no edit button to edit post and needs to add view original post while replying to someone`s post, other than so far so good"
6 February 2019,A Google user, goo
5 February 2019,Talky Walker," Built in browser and pdf read are dreadfully slow, and the pdf reader has failed to open files most of the time in my experience."
5 February 2019,Kaden Brooke, If you could integrate the calendar with your Google calendar or preexisting calendars it would be way better.
2 February 2019,Edd T., Where is the nightmode?
31 January 2019,David LaPaglia, my calender doesnt work
25 January 2019,Josie Palmer," It only loads one of my courses, which is not very useful for keeping tabs and quickly accessing my classes."
24 January 2019,Levi Brickey, Needs to optimize for tablets. My Calendar won't update!
23 January 2019,Terrie Santos, its it's ok
22 January 2019,CaptainKat Ricca, The new update makes it impossible for my classes to be on my calendar which makes it harder for me to keep up with due dates 😑 fix this one thing and it'll be 5 stars
22 January 2019,Hunter Workman," Very helpful when you're in a rush and without your laptop. The website version is much easier to use and navigate. This app would be an easy 5 stars for me if there were push notifications for new grades, announcements, and assignments, and if the grades section had the option to be organized complFull ReviewVery helpful when you're in a rush and without your laptop. The website version is much easier to use and navigate. This app would be an easy 5 stars for me if there were push notifications for new grades, announcements, and assignments, and if the grades section had the option to be organized completely by assignment date rather than category."
19 January 2019,Amber Hatch," It works, I guess. It's a lot better than it was a year ago. For some reason it doesn't update with changes to course materials or changes to grades? This is an issue my instructor warned me of, which I experienced today for the first time (that I'm aware of). Please fix? ☹️ Unreliable data kinda deFull ReviewIt works, I guess. It's a lot better than it was a year ago. For some reason it doesn't update with changes to course materials or changes to grades? This is an issue my instructor warned me of, which I experienced today for the first time (that I'm aware of). Please fix? ☹️ Unreliable data kinda defeats the purpose of having Canvas in my pocket."
18 January 2019,Wesley Geddes," The app is convenient while getting through school. Unfortunatly the convenience only stems to looking at grades. Everything else is incredibly useless. For example, the ToDo list is in the weidest order. I cant fogure out how to make it filter by date. Also, the links you can receive via text just Full ReviewThe app is convenient while getting through school. Unfortunatly the convenience only stems to looking at grades. Everything else is incredibly useless. For example, the ToDo list is in the weidest order. I cant fogure out how to make it filter by date. Also, the links you can receive via text just open the app and dont take you to the announcment/grade/etc."
17 January 2019,Chelsea Nunez," its great and all, but i have push notifications on, yet never receive any, which is super disappointing"
10 January 2019,dini tri lestari, can't open the link and can't view the video
9 January 2019,Sharise Severino," Great for quickly checking your course content and discussions etc on the go, but i cant see the items i add myself. i create my own to-do list so i can stay ahead of my studies, but i cant see this on the app. This almost renders the app pointless for me as not all teachers format their classes in Full ReviewGreat for quickly checking your course content and discussions etc on the go, but i cant see the items i add myself. i create my own to-do list so i can stay ahead of my studies, but i cant see this on the app. This almost renders the app pointless for me as not all teachers format their classes in the same way. If you could add this feature in, or explain how i view my own to do items on my phone, i would really appreciate it."
9 January 2019,A Google user, Neat good for school. Although I am unable to open my textbook.
3 January 2019,Austin Christiansen," The calendar doesn't display anything on the app, I have to log in on my laptop to see my calendar events"
3 January 2019,Ben Rothfeld," I have no idea why this app and site aren't better organized. Maybe it's my school's implementation, but I have less than 100% confidence as to what my assignments are at any given time."
29 December 2018,Racheal Harris, Ok when it works
26 December 2018,Derek Gamble," i have groups from previous courses that i was a part of that i cannot get out of now. when i watch a video in a module, it freezss the module area so i have to back way out and renavigate to where i left off. discussion forums will occasionally show notifications when all of my discussion boards arFull Reviewi have groups from previous courses that i was a part of that i cannot get out of now. when i watch a video in a module, it freezss the module area so i have to back way out and renavigate to where i left off. discussion forums will occasionally show notifications when all of my discussion boards are zeroed out. it's not a terrible app and it is useful, but this is annoying"
23 December 2018,Mohammed Osumah," I like everthing about the app, only thing is that it doesn't notify me even though I have notifications turned on. I tried looking for a fix online, but nothing works."
13 December 2018,Katelyn K, It looks very different from the desktop version and it makes it harder to navigate. Also some functions are missing.
12 December 2018,Minato Namikaze, I don't like how the app doesn't let you view your group.
4 December 2018,Ben Davis," Kind of buggy. Has the information I need, but it's poorly organized and difficult to sort through. I'm not sure if this is because of the app or my teachers, but my experience isn't ideal."
2 December 2018,yevsey beylinson," No way to view new posts without scrolling for ages, no filters. Too damn many notifications and no way to dismiss them."
28 November 2018,Machiko T," Now that my phone has a headphone jack on the bottom, it makes more sense to watch lecture videos horizontally. However, both top and bottom banners that tell me which chapter I am on don't go away. So, I can only see half the sliver. I can't seem to find a setting to change it."
23 November 2018,Michael Benfari, It is a great app but the reading materials can't be seen.
20 November 2018,Breanna Dragon, Great for if you are on the go and need to see what assignment you have due or your grades. That's about it
17 November 2018,A Google user, It's good
16 November 2018,Malou Maxino, That this app is useful to me as what I expected to
16 November 2018,matthew pichardo," The app doesnt really work all the time, and the widget dont allow you to access all your classes"
6 November 2018,Chris mcelhoe, I can never log on with my parent account. Had to use childs
6 November 2018,J Productions, Well I've never used Canvas Student before and I don't know how it works so if someone can help me out...I'm a freshman I go to McClintock High school
3 November 2018,Gus S., The calendar won't display any of the items or pdfs my teachers display on their calendar and I get my notes no for calculus from the calendar which resorts me to using only my computer which is immobile and very inconvenient.
1 November 2018,A Google user, It has a lot of problems a lot
1 November 2018,The Magical Llama, I can't view the calendar for due dates and assignments on the app. It comes up as blank. Even when you go and manually add in your classes to show up on the dash board.
26 October 2018,Jay Deeze, No push notifications
21 October 2018,Tyler Meche," How do you view grades directly in the app? Searched everywhere I could find. App doesn't really provide me with any useful information for class, and I end up having to just use website."
19 October 2018,Carissa Domonkos," In general I like the app, but I hate that I don't get notifications about grades posted, announcements, assignments due, etc. (even though I have it set to send me push notifications). Also, since the recent update, when I click on the app to open it, literally nothing happens. I have to go in throFull ReviewIn general I like the app, but I hate that I don't get notifications about grades posted, announcements, assignments due, etc. (even though I have it set to send me push notifications). Also, since the recent update, when I click on the app to open it, literally nothing happens. I have to go in through the play store to open it. Need a fix for that asap!"
19 October 2018,Steve Andrade, There needs to be a way to display the original text when replying to a discussion post. We also need functionality to edit our already posted discussion posts.
16 October 2018,Ember Fairbanks," The calendar tab no longer works. When I tap on a day where I know there is an assignment due, nothing shows in the space below the calendar like it used to. I've ensured that the correct calendars are selected so I'm not sure why this functionality is not working."
15 October 2018,Janet Jeffries, It sent unneeded notifications and emails and didn't include information i needed
